Timestamp,TEMP,HUMI,IRRAD,WIND_DIR,WIND,RAIN,WIND_MAX,VOLTAGE
2025-02-01 00:00:00,3.91,92.75,0.0,69.18,0.05,0.0,0.48,12.89
2025-02-01 01:00:00,3.75,93.28,0.0,92.2,0.03,0.0,0.34,12.89
2025-02-01 02:00:00,3.4,94.63,0.0,66.27,0.02,0.0,0.29,12.89
2025-02-01 03:00:00,3.35,94.98,0.0,66.0,0.0,0.01,0.02,12.89
2025-02-01 04:00:00,3.19,95.64,0.0,60.72,0.06,0.01,0.5,12.89
2025-02-01 05:00:00,2.94,96.32,0.0,56.8,0.12,0.01,0.64,12.89
2025-02-01 06:00:00,3.01,96.75,0.0,61.0,0.0,0.0,0.03,12.89
2025-02-01 07:00:00,3.02,96.92,1.21,61.0,0.01,0.01,0.22,12.89
2025-02-01 08:00:00,3.01,97.0,16.73,57.62,0.12,0.0,0.57,12.89
2025-02-01 09:00:00,3.43,97.14,45.82,55.0,0.01,0.0,0.29,13.07
2025-02-01 10:00:00,3.96,96.84,60.55,55.0,0.02,0.0,0.37,13.16
2025-02-01 10:00:00,4.04,96.72,63.32,55.0,0.03,0.0,0.4,13.22
2025-02-01 11:00:00,4.77,95.84,81.54,41.38,0.03,0.0,0.59,13.67
2025-02-01 11:00:00,4.73,95.91,80.99,42.16,0.03,0.0,0.64,13.65
2025-02-01 12:00:00,5.18,95.19,100.35,37.0,0.01,0.01,0.22,13.96
2025-02-01 12:00:00,5.05,95.25,88.81,37.0,0.02,0.01,0.47,13.81
2025-02-01 13:00:00,5.88,94.84,145.52,37.0,0.0,0.0,0.13,14.36
2025-02-01 13:00:00,6.24,93.0,160.66,45.2,0.07,0.0,0.57,14.48
2025-02-01 14:00:00,6.98,86.43,163.09,95.9,0.07,0.0,0.5,14.53
2025-02-01 14:00:00,6.85,88.51,139.09,47.43,0.08,0.0,0.51,14.51
2025-02-01 15:00:00,8.26,80.31,275.88,235.05,0.08,0.0,0.69,14.64
2025-02-01 15:00:00,8.64,77.83,233.15,264.47,0.1,0.0,0.74,14.59
2025-02-01 16:00:00,7.54,81.35,75.66,240.57,0.18,0.0,0.87,14.27
2025-02-01 16:00:00,8.27,77.81,117.06,251.62,0.12,0.0,0.77,14.51
2025-02-01 17:00:00,6.6,84.4,33.59,244.19,0.17,0.0,0.86,13.79
2025-02-01 17:00:00,6.44,84.86,24.48,248.02,0.13,0.0,0.84,13.5
2025-02-01 18:00:00,5.89,85.14,0.08,249.55,0.08,0.0,0.5,13.05
2025-02-01 18:00:00,6.11,84.34,0.22,279.0,0.07,0.0,0.51,13.06
2025-02-01 19:00:00,5.56,84.56,0.0,135.62,0.29,0.0,1.03,13.02
2025-02-01 19:00:00,5.42,84.99,0.0,113.38,0.45,0.0,1.27,12.98
2025-02-01 20:00:00,5.13,84.9,0.0,74.83,0.58,0.0,1.41,12.93
2025-02-01 20:00:00,5.26,84.68,0.0,74.0,0.6,0.0,1.55,12.93
2025-02-01 21:00:00,4.69,87.18,0.0,54.75,0.31,0.0,0.94,12.9
2025-02-01 21:00:00,4.8,86.06,0.0,56.16,0.41,0.0,1.05,12.91
